WKT,name,description
"LINESTRING (19.8193402 41.3296087, 19.8205994 41.330577, 19.8219072 41.3318112, 19.8224794 41.3325444, 19.822745 41.3329311, 19.8241351 41.3355676, 19.8247794 41.3366908, 19.8259918 41.3383463, 19.8291907 41.3400672, 19.8352225 41.3432142, 19.8372333 41.3446251)",Rr. Dibres,
"LINESTRING (19.7838528 41.3198605, 19.7890241 41.3216251, 19.7894747 41.3219393, 19.7902906 41.3220034, 19.8118848 41.3283779, 19.8159281 41.3281948)",Rr. Kavajes,
"LINESTRING (19.8159216 41.3290862, 19.8047422 41.332929)",Rr. Durresit,
